timestamp_ms,ue_id,serving_cell_id,neighbor_cell_id,metric_type,sinr_db
1760555486561,13,2,,L3Serving,41.00
1760555486561,13,2,5,L3Neighbor,12.00
1760555486561,13,2,4,L3Neighbor,0.00
1760555513269,13,2,,L3Serving,43.00
1760555513269,13,2,5,L3Neighbor,9.00
1760555513269,13,2,4,L3Neighbor,1.00
1760555539343,13,2,,L3Serving,52.00
1760555539343,13,2,5,L3Neighbor,6.00
1760555539343,13,2,3,L3Neighbor,-1.00
1760555564609,13,2,,L3Serving,50.00
1760555564609,13,2,5,L3Neighbor,4.00
1760555564609,13,2,3,L3Neighbor,-1.00
1760555590052,2,5,,L3Serving,12.00
1760555590052,2,5,2,L3Neighbor,17.00
1760555590052,2,5,3,L3Neighbor,-2.00
1760555590052,12,5,,L3Serving,13.00
1760555590052,12,5,4,L3Neighbor,5.00
1760555590052,12,5,3,L3Neighbor,5.00
1760555590052,15,5,,L3Serving,32.00
1760555590052,15,5,4,L3Neighbor,13.00
1760555590052,15,5,3,L3Neighbor,12.00
1760555590075,13,2,,L3Serving,32.00
1760555590075,13,2,5,L3Neighbor,12.00
1760555590075,13,2,3,L3Neighbor,2.00
1760555614696,2,5,,L3Serving,10.00
1760555614696,2,5,2,L3Neighbor,21.00
1760555614696,2,5,3,L3Neighbor,2.00
1760555614696,15,5,,L3Serving,32.00
1760555614696,15,5,2,L3Neighbor,12.00
1760555614696,15,5,4,L3Neighbor,11.00
1760555614696,12,5,,L3Serving,12.00
1760555614696,12,5,4,L3Neighbor,5.00
1760555614696,12,5,3,L3Neighbor,3.00
1760555614721,13,2,,L3Serving,29.00
1760555614721,13,2,5,L3Neighbor,11.00
1760555614721,13,2,3,L3Neighbor,0.00
1760555641603,2,5,,L3Serving,13.00
1760555641603,2,5,2,L3Neighbor,17.00
1760555641603,2,5,3,L3Neighbor,1.00
1760555641603,15,5,,L3Serving,13.00
1760555641603,15,5,2,L3Neighbor,17.00
