timestamp,id,x,y,type,cell,simid
1760555221223,2,537.09,260.954,mc,0,1760555221223
1760555221223,3,269.897,219.587,mc,0,1760555221223
1760555221223,4,469.762,371.584,mc,0,1760555221223
1760555221223,5,316.581,270.483,mc,0,1760555221223
1760555221223,6,754.82,319.729,mc,0,1760555221223
1760555221223,7,72.3764,371.115,mc,0,1760555221223
1760555221223,8,479.296,709.06,mc,0,1760555221223
1760555221223,9,293.03,500.422,mc,0,1760555221223
1760555221223,10,577.241,716.13,mc,0,1760555221223
1760555221223,11,300.979,491.77,mc,0,1760555221223
1760555221223,12,643.727,371.956,mc,0,1760555221223
1760555221223,13,560.413,333.952,mc,0,1760555221223
1760555221223,14,536.509,457.101,mc,0,1760555221223
1760555221223,15,666.467,563.315,mc,0,1760555221223
1760555221223,16,360.08,476.528,mc,0,1760555221223
1760555221323,2,536.727,260.518,mc,5,1760555221223
1760555221323,3,270.292,219.462,mc,3,1760555221223
1760555221323,4,469.434,371.31,mc,4,1760555221223
1760555221323,5,316.052,270.282,mc,3,1760555221223
1760555221323,6,755.012,320.191,mc,4,1760555221223
1760555221323,7,72.6814,370.861,mc,3,1760555221223
1760555221323,8,479.055,708.869,mc,4,1760555221223
1760555221323,9,293.309,500.654,mc,4,1760555221223
1760555221323,10,577.847,716.1,mc,4,1760555221223
1760555221323,11,301.263,492.187,mc,3,1760555221223
1760555221323,12,643.631,372.484,mc,5,1760555221223
1760555221323,13,560.712,333.778,mc,2,1760555221223
1760555221323,14,536.217,456.976,mc,4,1760555221223
1760555221323,15,666.219,562.778,mc,5,1760555221223
1760555221323,16,360.663,476.301,mc,0,1760555221223
1760555221423,2,536.365,260.083,mc,5,1760555221223
1760555221423,3,270.686,219.336,mc,3,1760555221223
1760555221423,4,469.107,371.037,mc,4,1760555221223
1760555221423,5,315.522,270.08,mc,3,1760555221223
1760555221423,6,755.205,320.654,mc,4,1760555221223
1760555221423,7,72.9864,370.608,mc,3,1760555221223
1760555221423,8,478.814,708.678,mc,4,1760555221223
1760555221423,9,293.588,500.886,mc,4,1760555221223
1760555221423,10,578.452,716.07,mc,4,1760555221223
1760555221423,11,301.547,492.605,mc,3,1760555221223
1760555221423,12,643.535,373.011,mc,5,1760555221223
1760555221423,13,561.011,333.603,mc,2,1760555221223
1760555221423,14,535.924,456.851,mc,4,1760555221223
1760555221423,15,665.971,562.242,mc,5,1760555221223
1760555221423,16,361.247,476.074,mc,0,1760555221223
1760555221523,2,536.003,259.647,mc,5,1760555221223
1760555221523,3,271.081,219.211,mc,3,1760555221223
1760555221523,4,468.779,370.763,mc,4,1760555221223
1760555221523,5,314.993,269.879,mc,3,1760555221223
1760555221523,6,755.397,321.116,mc,4,1760555221223
1760555221523,7,73.2913,370.355,mc,3,1760555221223
1760555221523,8,478.573,708.487,mc,4,1760555221223
1760555221523,9,293.867,501.118,mc,4,1760555221223
1760555221523,10,579.058,716.04,mc,4,1760555221223
1760555221523,11,301.831,493.023,mc,3,1760555221223
1760555221523,12,643.439,373.538,mc,5,1760555221223
1760555221523,13,561.31,333.429,mc,2,1760555221223
1760555221523,14,535.631,456.726,mc,4,1760555221223
1760555221523,15,665.722,561.706,mc,5,1760555221223
1760555221523,16,361.831,475.848,mc,0,1760555221223
1760555221623,2,535.641,259.212,mc,5,1760555221223
1760555221623,3,271.475,219.085,mc,3,1760555221223
1760555221623,4,468.451,370.489,mc,4,1760555221223
1760555221623,5,314.463,269.677,mc,3,1760555221223
1760555221623,6,755.589,321.578,mc,4,1760555221223
1760555221623,7,73.5963,370.102,mc,3,1760555221223
1760555221623,8,478.332,708.296,mc,4,1760555221223
1760555221623,9,294.147,501.35,mc,4,1760555221223
1760555221623,10,579.663,716.011,mc,4,1760555221223
1760555221623,11,302.115,493.44,mc,3,1760555221223
1760555221623,12,643.344,374.065,mc,5,1760555221223
1760555221623,13,561.61,333.254,mc,2,1760555221223
1760555221623,14,535.338,456.601,mc,4,1760555221223
1760555221623,15,665.474,561.169,mc,5,1760555221223
1760555221623,16,362.414,475.621,mc,0,1760555221223
1760555221723,2,535.279,258.776,mc,5,1760555221223
1760555221723,3,271.869,218.96,mc,3,1760555221223
1760555221723,4,468.123,370.216,mc,4,1760555221223
1760555221723,5,313.934,269.475,mc,3,1760555221223
1760555221723,6,755.782,322.041,mc,4,1760555221223
1760555221723,7,73.9013,369.849,mc,3,1760555221223
1760555221723,8,478.091,708.105,mc,4,1760555221223
1760555221723,9,294.426,501.582,mc,4,1760555221223
1760555221723,10,580.269,715.981,mc,4,1760555221223
1760555221723,11,302.399,493.858,mc,3,1760555221223
1760555221723,12,643.248,374.592,mc,5,1760555221223
1760555221723,13,561.909,333.08,mc,2,1760555221223
1760555221723,14,535.045,456.476,mc,4,1760555221223
1760555221723,15,665.226,560.633,mc,5,1760555221223
1760555221723,16,362.998,475.395,mc,0,1760555221223
1760555221823,2,534.917,258.34,mc,5,1760555221223
1760555221823,3,272.264,218.834,mc,3,1760555221223
1760555221823,4,467.796,369.942,mc,4,1760555221223
1760555221823,5,313.404,269.274,mc,3,1760555221223
1760555221823,6,755.974,322.503,mc,4,1760555221223
1760555221823,7,74.2063,369.596,mc,3,1760555221223
1760555221823,8,477.85,707.914,mc,4,1760555221223
1760555221823,9,294.705,501.814,mc,4,1760555221223
1760555221823,10,580.874,715.951,mc,4,1760555221223
1760555221823,11,302.683,494.275,mc,3,1760555221223
1760555221823,12,643.152,375.12,mc,5,1760555221223
1760555221823,13,562.208,332.905,mc,2,1760555221223
1760555221823,14,534.752,456.351,mc,4,1760555221223
1760555221823,15,664.978,560.097,mc,5,1760555221223
1760555221823,16,363.582,475.168,mc,0,1760555221223
1760555221923,2,534.555,257.905,mc,5,1760555221223
1760555221923,3,272.658,218.709,mc,3,1760555221223
1760555221923,4,467.468,369.668,mc,4,1760555221223
1760555221923,5,312.875,269.072,mc,3,1760555221223
1760555221923,6,756.166,322.965,mc,4,1760555221223
1760555221923,7,74.5113,369.343,mc,3,1760555221223
1760555221923,8,477.609,707.723,mc,4,1760555221223
1760555221923,9,294.984,502.045,mc,4,1760555221223
1760555221923,10,581.48,715.921,mc,4,1760555221223
1760555221923,11,302.967,494.693,mc,3,1760555221223
1760555221923,12,643.056,375.647,mc,5,1760555221223
1760555221923,13,562.507,332.731,mc,2,1760555221223
1760555221923,14,534.459,456.226,mc,4,1760555221223
1760555221923,15,664.729,559.561,mc,5,1760555221223
1760555221923,16,364.166,474.942,mc,0,1760555221223
1760555222023,2,534.193,257.469,mc,5,1760555221223
1760555222023,3,273.052,218.584,mc,3,1760555221223
1760555222023,4,467.14,369.395,mc,4,1760555221223
1760555222023,5,312.345,268.871,mc,3,1760555221223
1760555222023,6,756.359,323.428,mc,4,1760555221223
1760555222023,7,74.8163,369.089,mc,3,1760555221223
1760555222023,8,477.368,707.532,mc,4,1760555221223
1760555222023,9,295.263,502.277,mc,4,1760555221223
1760555222023,10,582.085,715.891,mc,4,1760555221223
1760555222023,11,303.25,495.111,mc,3,1760555221223
1760555222023,12,642.96,376.174,mc,5,1760555221223
1760555222023,13,562.806,332.556,mc,2,1760555221223
1760555222023,14,534.166,456.101,mc,4,1760555221223
1760555222023,15,664.481,559.024,mc,5,1760555221223
1760555222023,16,364.749,474.715,mc,0,1760555221223
1760555222123,2,533.831,257.033,mc,5,1760555221223
1760555222123,3,273.447,218.458,mc,3,1760555221223
1760555222123,4,466.812,369.121,mc,4,1760555221223
1760555222123,5,311.815,268.669,mc,3,1760555221223
1760555222123,6,756.551,323.89,mc,4,1760555221223
1760555222123,7,75.1213,368.836,mc,3,1760555221223
1760555222123,8,477.127,707.341,mc,4,1760555221223
1760555222123,9,295.543,502.509,mc,4,1760555221223
1760555222123,10,582.691,715.861,mc,4,1760555221223
1760555222123,11,303.534,495.528,mc,3,1760555221223
1760555222123,12,642.864,376.701,mc,5,1760555221223
1760555222123,13,563.105,332.382,mc,2,1760555221223
1760555222123,14,533.873,455.976,mc,4,1760555221223
1760555222123,15,664.233,558.488,mc,5,1760555221223
1760555222123,16,365.333,474.488,mc,0,1760555221223
1760555222223,2,533.469,256.598,mc,5,1760555221223
1760555222223,3,273.841,218.333,mc,3,1760555221223
1760555222223,4,466.485,368.847,mc,4,1760555221223
1760555222223,5,311.286,268.468,mc,3,1760555221223
1760555222223,6,756.743,324.352,mc,4,1760555221223
1760555222223,7,75.4263,368.583,mc,3,1760555221223
1760555222223,8,476.886,707.15,mc,4,1760555221223
1760555222223,9,295.822,502.741,mc,4,1760555221223
1760555222223,10,583.296,715.831,mc,4,1760555221223
1760555222223,11,303.818,495.946,mc,3,1760555221223
1760555222223,12,642.768,377.228,mc,5,1760555221223
1760555222223,13,563.404,332.207,mc,2,1760555221223
1760555222223,14,533.58,455.851,mc,4,1760555221223
1760555222223,15,663.984,557.952,mc,5,1760555221223
1760555222223,16,365.917,474.262,mc,0,1760555221223
1760555222323,2,533.107,256.162,mc,5,1760555221223
1760555222323,3,274.236,218.207,mc,3,1760555221223
1760555222323,4,466.157,368.574,mc,4,1760555221223
1760555222323,5,310.756,268.266,mc,3,1760555221223
1760555222323,6,756.936,324.815,mc,4,1760555221223
1760555222323,7,75.7313,368.33,mc,3,1760555221223
1760555222323,8,476.645,706.959,mc,4,1760555221223
1760555222323,9,296.101,502.973,mc,4,1760555221223
1760555222323,10,583.902,715.801,mc,4,1760555221223
1760555222323,11,304.102,496.363,mc,3,1760555221223
1760555222323,12,642.672,377.755,mc,5,1760555221223
1760555222323,13,563.703,332.033,mc,2,1760555221223
1760555222323,14,533.287,455.726,mc,4,1760555221223
1760555222323,15,663.736,557.416,mc,5,1760555221223
1760555222323,16,366.5,474.035,mc,0,1760555221223
1760555222423,2,532.745,255.727,mc,5,1760555221223
1760555222423,3,274.63,218.082,mc,3,1760555221223
1760555222423,4,465.829,368.3,mc,4,1760555221223
1760555222423,5,310.227,268.065,mc,3,1760555221223
1760555222423,6,757.128,325.277,mc,4,1760555221223
1760555222423,7,76.0363,368.077,mc,3,1760555221223
1760555222423,8,476.404,706.768,mc,4,1760555221223
1760555222423,9,296.38,503.205,mc,4,1760555221223
1760555222423,10,584.507,715.772,mc,4,1760555221223
1760555222423,11,304.386,496.781,mc,3,1760555221223
1760555222423,12,642.577,378.283,mc,5,1760555221223
1760555222423,13,564.002,331.858,mc,2,1760555221223
1760555222423,14,532.994,455.601,mc,4,1760555221223
1760555222423,15,663.488,556.879,mc,5,1760555221223
1760555222423,16,367.084,473.809,mc,0,1760555221223
1760555222523,2,532.383,255.291,mc,5,1760555221223
1760555222523,3,275.024,217.956,mc,3,1760555221223
1760555222523,4,465.501,368.026,mc,4,1760555221223
1760555222523,5,309.697,267.863,mc,3,1760555221223
1760555222523,6,757.32,325.739,mc,4,1760555221223
1760555222523,7,76.3412,367.824,mc,3,1760555221223
1760555222523,8,476.163,706.577,mc,4,1760555221223
1760555222523,9,296.66,503.437,mc,4,1760555221223
1760555222523,10,585.113,715.742,mc,4,1760555221223
1760555222523,11,304.67,497.199,mc,3,1760555221223
1760555222523,12,642.481,378.81,mc,5,1760555221223
1760555222523,13,564.301,331.684,mc,2,1760555221223
1760555222523,14,532.702,455.476,mc,4,1760555221223
1760555222523,15,663.24,556.343,mc,5,1760555221223
1760555222523,16,367.668,473.582,mc,0,1760555221223
1760555222623,2,532.021,254.855,mc,5,1760555221223
1760555222623,3,275.419,217.831,mc,3,1760555221223
1760555222623,4,465.174,367.753,mc,4,1760555221223
1760555222623,5,309.168,267.662,mc,3,1760555221223
1760555222623,6,757.513,326.202,mc,4,1760555221223
1760555222623,7,76.6462,367.571,mc,3,1760555221223
1760555222623,8,475.922,706.386,mc,4,1760555221223
1760555222623,9,296.939,503.669,mc,4,1760555221223
1760555222623,10,585.718,715.712,mc,4,1760555221223
1760555222623,11,304.954,497.616,mc,3,1760555221223
1760555222623,12,642.385,379.337,mc,5,1760555221223
1760555222623,13,564.6,331.509,mc,2,1760555221223
1760555222623,14,532.409,455.351,mc,4,1760555221223
1760555222623,15,662.991,555.807,mc,5,1760555221223
1760555222623,16,368.251,473.355,mc,0,1760555221223
1760555222723,2,531.659,254.42,mc,5,1760555221223
1760555222723,3,275.813,217.705,mc,3,1760555221223
1760555222723,4,464.846,367.479,mc,4,1760555221223
1760555222723,5,308.638,267.46,mc,3,1760555221223
1760555222723,6,757.705,326.664,mc,4,1760555221223
1760555222723,7,76.9512,367.318,mc,3,1760555221223
1760555222723,8,475.681,706.195,mc,4,1760555221223
1760555222723,9,297.218,503.901,mc,4,1760555221223
1760555222723,10,586.324,715.682,mc,4,1760555221223
1760555222723,11,305.238,498.034,mc,3,1760555221223
1760555222723,12,642.289,379.864,mc,5,1760555221223
1760555222723,13,564.899,331.335,mc,2,1760555221223
1760555222723,14,532.116,455.226,mc,4,1760555221223
1760555222723,15,662.743,555.271,mc,5,1760555221223
1760555222723,16,368.835,473.129,mc,0,1760555221223
1760555222823,2,531.297,253.984,mc,5,1760555221223
1760555222823,3,276.208,217.58,mc,3,1760555221223
1760555222823,4,464.518,367.205,mc,4,1760555221223
1760555222823,5,308.109,267.258,mc,3,1760555221223
1760555222823,6,757.898,327.126,mc,4,1760555221223
1760555222823,7,77.2562,367.064,mc,3,1760555221223
1760555222823,8,475.44,706.004,mc,4,1760555221223
1760555222823,9,297.497,504.133,mc,4,1760555221223
1760555222823,10,586.929,715.652,mc,4,1760555221223
1760555222823,11,305.522,498.451,mc,3,1760555221223
1760555222823,12,642.193,380.391,mc,5,1760555221223
1760555222823,13,565.198,331.16,mc,2,1760555221223
1760555222823,14,531.823,455.101,mc,4,1760555221223
1760555222823,15,662.495,554.734,mc,5,1760555221223
1760555222823,16,369.419,472.902,mc,0,1760555221223
1760555222923,2,530.935,253.549,mc,5,1760555221223
1760555222923,3,276.602,217.454,mc,3,1760555221223
1760555222923,4,464.19,366.932,mc,4,1760555221223
1760555222923,5,307.579,267.057,mc,3,1760555221223
1760555222923,6,758.09,327.589,mc,4,1760555221223
1760555222923,7,77.5612,366.811,mc,3,1760555221223
1760555222923,8,475.199,705.813,mc,4,1760555221223
1760555222923,9,297.777,504.365,mc,4,1760555221223
1760555222923,10,587.535,715.622,mc,4,1760555221223
1760555222923,11,305.806,498.869,mc,3,1760555221223
1760555222923,12,642.097,380.919,mc,5,1760555221223
1760555222923,13,565.497,330.986,mc,2,1760555221223
1760555222923,14,531.53,454.976,mc,4,1760555221223
1760555222923,15,662.246,554.198,mc,5,1760555221223
1760555222923,16,370.002,472.676,mc,0,1760555221223
1760555223023,2,530.573,253.113,mc,5,1760555221223
1760555223023,3,276.996,217.329,mc,3,1760555221223
1760555223023,4,463.863,366.658,mc,4,1760555221223
1760555223023,5,307.05,266.855,mc,3,1760555221223
1760555223023,6,758.282,328.051,mc,4,1760555221223
1760555223023,7,77.8662,366.558,mc,3,1760555221223
1760555223023,8,474.958,705.622,mc,4,1760555221223
1760555223023,9,298.056,504.597,mc,4,1760555221223
1760555223023,10,588.14,715.592,mc,4,1760555221223
1760555223023,11,306.09,499.287,mc,3,1760555221223
1760555223023,12,642.001,381.446,mc,5,1760555221223
1760555223023,13,565.797,330.811,mc,2,1760555221223
1760555223023,14,531.237,454.851,mc,4,1760555221223
1760555223023,15,661.998,553.662,mc,5,1760555221223
1760555223023,16,370.586,472.449,mc,0,1760555221223
1760555223123,2,530.211,252.677,mc,5,1760555221223
1760555223123,3,277.391,217.203,mc,3,1760555221223
1760555223123,4,463.535,366.384,mc,4,1760555221223
1760555223123,5,306.52,266.654,mc,3,1760555221223
1760555223123,6,758.475,328.513,mc,4,1760555221223
