UE,x_err_snapshot_m,y_err_snapshot_m,x_err_tracking_m,y_err_tracking_m
1,3.91786026551446,1.84210184995419,2.00982872856435,2.29812405836998
2,6.05672811173832,5.905386297236,3.74059679599563,3.33660817523564
3,1.4336224224574,1.21480077860424,2.03130309300809,1.69571863208774
4,1.98717792891571,1.424649643275,2.23622714772515,1.43970275886781
5,3.53792473685163,6.48641030949033,3.49537763695507,4.59924665395016
6,4.14451528762832,8.51882078660472,4.18523958494383,5.35576984891146
7,1.71453469002021,1.3800682624403,1.75064150147614,1.09803829599606
8,2.43201578453047,3.9045305118342,2.74446991301334,2.39822898702307
9,4.63924799028161,4.65976720415631,2.70956811337747,3.97055972018062
10,2.02566980653608,6.52751133706664,2.00804463336122,3.8099848928342
