UE,x_err_snapshot_m,y_err_snapshot_m,x_err_tracking_m,y_err_tracking_m
1,3.90600244990723,2.39546162254973,2.17992011430477,3.10056854543012
2,6.02453847998064,5.63094706945791,3.19993067989862,3.7509736722697
3,2.60407110518202,2.6646080830303,2.15017717161945,3.16178911058431
4,1.73216579660405,1.52882116843721,2.08346411142037,1.4153978212335
5,3.18973588424112,5.97728321255255,1.38018706615175,3.04369320302518
6,2.77082051640375,9.55181864206418,2.46977001741587,7.44166082646074
7,1.80013840942572,2.16743914198409,1.38796326529109,1.96603534979671
8,1.61592335864823,4.05062516710806,2.50936947891494,1.90924191385786
9,3.72021319827213,2.2113498874603,2.50250054328598,1.76979585491536
10,2.1366517696722,6.24565303963089,2.18972180596842,5.17667923894434
11,4.22342976958278,4.06494013145398,2.87482410987665,3.05424194220416
12,2.87105926505422,2.84583699557901,2.71195502582432,1.94004705187298
13,1.53833252774981,0.771125964345331,1.50754309114397,1.40438821768232
14,1.42364524804892,3.41297270358821,1.40168905186261,3.08817307721183
15,2.61997111734737,3.04259666773986,3.83375651110457,1.7647518984163
